n,id,name,category,art
1,stone,Piedra,Naturaleza,webp
2,wood,Madera,Naturaleza,webp
3,water,Agua,Naturaleza,webp
4,fire,Fuego,Calor,glyph
5,earth,Tierra,Naturaleza,webp
6,sharp_stone,Piedra tallada,Herramientas,webp
7,stick,Mango,Materiales,glyph
8,coal,Carbón,Calor,webp
9,steam,Vapor,Energía,glyph
10,mud,Barro,Materiales,glyph
11,sand,Arena,Materiales,webp
12,seed,Semilla,Agricultura,glyph
13,flint,Pedernal,Minerales,glyph
14,campfire,Hoguera,Calor,glyph
15,axe,Hacha,Herramientas,glyph
16,planks,Tablones,Construcción,webp
17,clay,Arcilla,Materiales,webp
18,wheat,Trigo,Agricultura,glyph
19,kiln,Horno,Estaciones,glyph
20,brick,Ladrillo,Construcción,webp
21,glass,Vidrio,Materiales,webp
22,torch,Antorcha,Calor,webp
23,handle,Empuñadura,Herramientas,glyph
24,hammer,Martillo,Herramientas,webp
25,pickaxe,Pico,Herramientas,glyph
26,saw,Sierra,Herramientas,glyph
27,ore,Mineral,Minerales,glyph
28,copper,Cobre,Minerales,webp
29,iron,Hierro,Minerales,webp
30,metal,Metal,Materiales,glyph
31,steel,Acero,Materiales,glyph
32,gold,Oro,Minerales,webp
33,emerald,Esmeralda,Minerales,webp
34,redstone,Cristal rojo,Minerales,glyph
35,obsidian,Obsidiana,Minerales,webp
36,lapis,Lapislázuli,Minerales,webp
37,diamond,Diamante,Minerales,webp
38,bone,Hueso,Materiales,webp
39,amethyst,Amatista,Minerales,webp
40,iron_ingot,Lingote de hierro,Materiales,webp
41,copper_ingot,Lingote de cobre,Materiales,webp
42,gold_ingot,Lingote de oro,Materiales,webp
43,steel_ingot,Lingote de acero,Materiales,webp
44,dark_ingot,Lingote umbrío,Materiales,glyph
45,alloy,Aleación reforzada,Materiales,glyph
46,gem_dust,Polvo de gema,Materiales,webp
47,wheel,Rueda,Mecánica,webp
48,axle,Eje,Mecánica,webp
49,gear,Engranaje,Mecánica,webp
50,rope,Cuerda,Materiales,webp
51,fabric,Tela,Materiales,glyph
52,door,Puerta,Construcción,glyph
53,window,Ventana,Construcción,glyph
54,roof,Tejado,Construcción,glyph
55,shelter,Refugio,Construcción,glyph
56,house,Casa,Construcción,glyph
57,field,Campo,Agricultura,glyph
58,flour,Harina,Alimentos,glyph
59,dough,Masa,Alimentos,glyph
60,bread,Pan,Alimentos,webp
61,workbench,Mesa de trabajo,Estaciones,glyph
62,forge,Forja,Estaciones,glyph
63,mill,Molino,Estaciones,glyph
64,pulley,Polea,Mecánica,webp
65,cart,Carro,Transporte,glyph
66,machine,Máquina,Mecánica,glyph
67,factory,Fábrica,Construcción,glyph
68,magnet,Imán,Electricidad,glyph
69,wire,Cable,Electricidad,glyph
70,coil,Bobina,Electricidad,glyph
71,generator,Generador,Estaciones,glyph
72,electricity,Electricidad,Energía,glyph
73,filament,Filamento,Electricidad,glyph
74,bulb,Bombilla,Electricidad,glyph
75,battery,Batería,Electricidad,glyph
76,motor,Motor,Mecánica,glyph
77,vehicle,Vehículo,Transporte,glyph
