id,ingrediente_a,ingrediente_b,resultado
r1,stone,stone,cut_stone
r2,wood,cut_stone,handle
r3,earth,fire,coal
r4,stone,cut_stone,flint
r5,wood,flint,fire
r233,fire,stone,campfire
r6,plant_fiber,plant_fiber,rope
r7,earth,water,clay
r8,stone,water,sand
r9,water,fire,salt
r10,earth,coal,sulfur
r11,earth,wood,plant_fiber
r12,wood,handle,stick
r13,wood,stone,bark
r14,wood,campfire,charcoal
r15,charcoal,fire,ash
r16,plant_fiber,water,herbs
r17,earth,ash,mushroom
r18,bark,fire,resin
r19,earth,flint,bone
r20,plant_fiber,rope,wool
r21,plant_fiber,fire,feather
r22,resin,fire,wax
r23,wool,rope,fabric
r24,bone,water,leather
r25,handle,stone,stone_hammer
r26,handle,flint,flint_knife
r27,handle,cut_stone,stone_axe
r28,stone_hammer,cut_stone,stone_pickaxe
r29,stone_pickaxe,stone,iron
r30,stone_pickaxe,earth,copper
r31,stone_pickaxe,coal,tin
r32,stone_pickaxe,sulfur,gold
r33,stone_pickaxe,flint,silver
r34,stone_pickaxe,sand,quartz
r35,quartz,coal,amethyst
r36,quartz,copper,emerald
r37,quartz,iron,diamond
r38,quartz,earth,lapis
r39,sand,fire,obsidian
r40,sand,campfire,glass
r41,wood,stone_axe,plank
r42,plank,stone_axe,beam
r43,iron,campfire,iron_ingot
r44,copper,campfire,copper_ingot
r45,tin,campfire,tin_ingot
r46,gold,campfire,gold_ingot
r47,silver,campfire,silver_ingot
r48,copper_ingot,tin_ingot,bronze
r49,iron_ingot,coal,steel
r50,plank,stone_hammer,workbench
r51,clay,campfire,kiln
r52,clay,kiln,brick
r53,brick,campfire,forge
r54,iron_ingot,stone_hammer,anvil
r55,iron_ingot,anvil,nail
r56,copper_ingot,anvil,wire
r57,iron_ingot,workbench,gear
r58,iron_ingot,gear,chain
r59,iron_ingot,nail,hinge
r60,iron_ingot,rivet,screw
r61,steel,anvil,spring
r62,iron_ingot,iron_hammer,metal_plate
r63,metal_plate,anvil,metal_pipe
r64,metal_plate,nail,rivet
r65,handle,iron_ingot,iron_hammer
r66,handle,iron_hammer,iron_axe
r67,handle,iron_axe,iron_pickaxe
r68,iron_ingot,plank,saw
r69,handle,metal_plate,shovel
r70,iron_ingot,hinge,tongs
r71,stick,cut_stone,stone_spear
r72,stick,iron_ingot,iron_spear
r73,stick,rope,bow
r74,stick,feather,arrow
r75,iron_ingot,leather,iron_sword
r76,iron_ingot,flint_knife,dagger
r77,iron_ingot,chain,mace
r78,plank,nail,wood_shield
r79,metal_plate,rivet,iron_shield
r80,metal_plate,leather,iron_helmet
r81,sand,clay,mortar
r82,cut_stone,mortar_pestle,stone_block
r83,plank,metal_plate,barrel
r84,plank,hinge,chest
r85,plank,stick,wood_crate
r86,stick,resin,torch
r87,metal_plate,glass,lantern
r88,wax,rope,candle
r89,plank,beam,table
r90,plank,wood_spoon,chair
r91,plank,fabric,bed
r92,beam,nail,shelf
r93,plank,lock,wardrobe
r94,beam,wood_crate,bench
r95,fabric,wool,rug
r96,wood,flint_knife,wood_bowl
r97,clay,stone_hammer,clay_bowl
r98,clay_bowl,kiln,clay_jug
r99,glass,kiln,glass_bottle
r100,plank,wire,wood_bucket
r101,metal_plate,tongs,pot
r102,metal_plate,iron_hammer,pan
r103,wood,saw,wood_spoon
r104,stone,stone_hammer,mortar_pestle
r105,iron_ingot,metal_pipe,grill
r106,herbs,earth,seeds
r107,ash,herbs,compost
r108,seeds,compost,wheat
r109,wheat,mortar_pestle,flour
r110,flour,water,bread
r111,bone,flint_knife,raw_meat
r112,raw_meat,campfire,cooked_meat
r113,water,stone_spear,fish
r114,fish,campfire,cooked_fish
r115,seeds,water,apple
r116,herbs,water,berries
r117,wax,herbs,honey
r118,seeds,earth,carrot
r119,seeds,ash,potato
r120,seeds,clay,onion
r121,seeds,mortar,tomato
r122,seeds,wheat,corn
r123,feather,wheat,egg
r124,leather,wheat,milk
r125,milk,salt,cheese
r126,seeds,mortar_pestle,oil
r127,berries,glass_bottle,alcohol
r128,coal,mortar_pestle,coal_powder
r129,sulfur,mortar_pestle,sulfur_powder
r130,bone,mortar_pestle,bone_powder
r131,herbs,alcohol,herbal_extract
r132,herbal_extract,honey,healing_potion
r133,herbal_extract,coal_powder,energy_potion
r134,herbal_extract,sulfur_powder,antidote
r135,coal_powder,resin,ink
r136,plant_fiber,mortar_pestle,paper
r137,leather,flint_knife,parchment
r138,feather,ink,writing_quill
r139,paper,leather,book
r140,paper,ink,map
r141,plank,saw,ruler
r142,iron_ingot,ruler,drawing_compass
r143,glass,rivet,magnifying_glass
r144,iron_ingot,map,compass
r145,glass,sand,hourglass
r146,plank,rope,pulley
r147,plank,iron_hammer,wood_wheel
r148,wood_wheel,metal_plate,reinforced_wheel
r149,iron_ingot,wood_spoon,crank
r150,beam,stone_block,lever
r151,iron_ingot,spring,axle
r152,steel,spring,bearing
r153,gear,axle,simple_mechanism
r154,simple_mechanism,spring,advanced_mechanism
r155,metal_plate,spring,lock
r156,iron_ingot,lock,key
r157,lock,chain,padlock
r158,bronze,anvil,bell
r159,metal_pipe,hinge,piping
r160,piping,gear,valve
r161,valve,lever,hand_pump
r162,leather,plank,bellows
r163,stone_block,crank,hand_mill
r164,beam,screw,press
r165,beam,rope,loom
r166,plank,rivet,wood_door
r167,wood_door,metal_plate,reinforced_door
